trait_type,index ,Opensea name,count,% chance,Visual Order,trait_type (opensea name),Index,Name (Opensea Name),Old File Name,Swappable 50% (opensea name),Swappable 50% Type,Visual Order,Always Attached With (No Opensea Trait Name),Always Visual Trait Type,Include Trait in Every File,Notes,Comments,File Name,,Group total percentage
Bass + Chords,1,Analog Solo,16,0.66%,1,Background Color,10,Cherry Slush,Comp 2.mov,,,7,Clear Rainbow Cassette,Cassette,,,,Old Bass 1 (Just Bass 1),6.00%,11.00%
Bass + Chords,1,Analog Type,35,1.43%,1,Background Color,10,Cherry Slush,Comp 2.mov,,,7,Clear Teal Cassette,Cassette,,,,Old Bass 1A,13.00%,
Bass + Chords,2,Funky Solo,16,0.66%,1,Background Color,6,Blurple Swirls,Comp 5.mov,,,7,Clear Yellow Cassette,Cassette,,,,Old Bass 1 (Just Bass 2),6.00%,
Bass + Chords,2,Funky Rewind,24,0.99%,1,Background Color,6,Blurple Swirls,Comp 5.mov,,,7,Clear Gray Cassette,Cassette,,,,Old Bass 1B,9.00%,
Bass + Chords,3,Funky Swell,24,0.99%,1,Background Color,1,Blurple Swirls,Comp 5.mov,,,7,Clear Orange Cassette,Cassette,,,,Old Bass 1C,9.00%,
Bass + Chords,4,Space Solo,27,1.10%,1,Background Color,7,Blurple Circles,Comp 9.mov,,,7,Clear Blue Cassette,Cassette,,,,Old Bass 1 (Just Bass 4),10.00%,
Bass + Chords,4,Space,41,1.65%,1,Background Color,7,Blurple Circles,Comp 9.mov,,,7,Clear Pink Cassette,Cassette,,,,Old Bass 1D,15.00%,
Bass + Chords,5,West Coast Solo,27,1.10%,1,Background Color,4,Pink Swirls,Comp 10.mov,,,7,Clear Red Cassette,Cassette,,,,Old Bass 1 (Just Bass 3),10.00%,
Bass + Chords,5,West Coast,33,1.32%,1,Background Color,4,Pink Swirls,Comp 10.mov,,,7,Clear Blue Cassette 2,Cassette,,,,Old Bass 1E,12.00%,
Bass + Chords,6,Hard Hit,27,1.10%,1,Background Color,2,GreenPurple Pulse,Comp 6.mov,,,7,Clear Rainbow Cassette,Cassette,,,,Old Bass 1F,10.00%,
Bass + Chords,,Walkin Groove Solo,25,1.00%,1,Background Color,3,Rainbow Sherbet,Comp 11.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 1 (Just Bass 1),10.00%,10%
Bass + Chords,7,Walkin Groove Breezy,125,5.00%,1,Background Color,3,Rainbow Sherbet,Comp 11.mov,,,7,Clear Teal Cassette,Cassette,,,,New Bass 1A,50.00%,
Bass + Chords,,Walkin Groove Nostalgic,100,4.00%,1,Background Color,3,Rainbow Sherbet,Comp 11.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 1B,40.00%,
Bass + Chords,,Too Thicc Solo,35,1.40%,1,Background Color,5,Limeade,Comp 12.mov,,,7,Clear Gray Cassette,Cassette,,,,New Bass 1 (Just Bass 2),20.00%,7.00%
Bass + Chords,8,Too Thicc Breezy,78,3.15%,1,Background Color,5,Limeade,Comp 12.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 1C,45.00%,
Bass + Chords,8,Too Thicc Nostalgic,61,2.45%,1,Background Color,5,Limeade,Comp 12.mov,,,7,Clear Blue Cassette,Cassette,,,,New Bass 1D,35.00%,
Bass + Chords,9,Power Solo,21,1%,1,Background Color,9,Twilight,Comp 13.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 2 (Just Bass 1),8.00%,10.50%
Bass + Chords,9,Power Saucey,115,5%,1,Background Color,9,Twilight,Comp 13.mov,,,7,Clear Red Cassette,Cassette,,,,New Bass 2A,44.00%,
Bass + Chords,9,Power Swell,126,5%,1,Background Color,9,Twilight,Comp 13.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 2B,48.00%,
Bass + Chords,10,Retro Solo,27,1.10%,1,Background Color,8,Purple Rave,Comp 14.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 2 (Just Bass 2),22.00%,5.00%
Bass + Chords,10,Retro Saucey,53,2.15%,1,Background Color,8,Purple Rave,Comp 14.mov,,,7,Clear Red Cassette,Cassette,,,,New Bass 2C,43.00%,
Bass + Chords,10,Retro Swell,43,1.75%,1,Background Color,8,Purple Rave,Comp 14.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 2D,35.00%,
Bass + Chords,11,Floating Solo,50,2.00%,1,Background Color,,Sahara Sun,Comp 15.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 3 (Just Bass 1),20.00%,10.00%
Bass + Chords,11,Floating Summer,125,5.00%,1,Background Color,,Sahara Sun,Comp 15.mov,,,7,Clear Gray Cassette,Cassette,,,,New Bass 3A,50.00%,
Bass + Chords,11,Floating Sparkle,75,3.00%,1,Background Color,,Sahara Sun,Comp 15.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 3B,30.00%,
Bass + Chords,12,Dirty 808 Solo,18,0.75%,1,Background Color,,Sun and Sea,Comp 16.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 3 (Just Bass 2),10.00%,7.50%
Bass + Chords,12,Dirty 808 Summer,65,2.63%,1,Background Color,,Sun and Sea,Comp 16.mov,,,7,Clear Pink Cassette,Cassette,,,,New Bass 3C,35.00%,
Bass + Chords,12,Dirty 808 Sparkle,103,4.13%,1,Background Color,,Sun and Sea,Comp 16.mov,,,7,Clear Red Cassette,Cassette,,,,New Bass 3D,55.00%,
Bass + Chords,13,Drive Solo,15,0.60%,1,Background Color,,Pink and Yellow,Comp 17.mov,,,7,Clear Blue Cassette 2,Cassette,,,,New Bass 3 (Just Bass 3),10.00%,6.00%
Bass + Chords,13,Drive Summer,60,2.40%,1,Background Color,,Pink and Yellow,Comp 17.mov,,,7,Clear Rainbow Cassette,Cassette,,,,New Bass 3E,40.00%,
Bass + Chords,13,Drive Sparkle,75,3.00%,1,Background Color,,Pink and Yellow,Comp 17.mov,,,7,Clear Teal Cassette,Cassette,,,,New Bass 3F,50.00%,
Bass + Chords,14,Smooth Solo,25,1.02%,1,Background Color,,Blue Blender,Comp 18.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 4 (Just Bass 1),17.00%,6.00%
Bass + Chords,14,Smooth Coastin,64,2.58%,1,Background Color,,Blue Blender,Comp 18.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 4A,43.00%,
Bass + Chords,14,Smooth Pluck,60,2.40%,1,Background Color,,Blue Blender,Comp 18.mov,,,7,Clear Gray Cassette,Cassette,,,,New Bass 4B,40.00%,
Bass + Chords,15,Anthem Solo,43,1.75%,1,Background Color,,Tropical,Comp 19.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 4 (Just Bass 2),25.00%,7.00%
Bass + Chords,15,Anthem Coastin,78,3.15%,1,Background Color,,Tropical,Comp 19.mov,,,7,Clear Blue Cassette,Cassette,,,,New Bass 4C,45.00%,
Bass + Chords,15,Anthem Pluck,52,2.10%,1,Background Color,,Tropical,Comp 19.mov,,,7,Clear Pink Cassette,Cassette,,,,New Bass 4D,30.00%,
Bass + Chords,16,Spicy Solo,51,2.04%,1,Background Color,,Neon Camo,Comp 20.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 5 (Just Bass 1),17.00%,12.00%
Bass + Chords,16,Spicy Fresh,162,6.48%,1,Background Color,,Neon Camo,Comp 20.mov,,,7,Clear Blue Cassette 2,Cassette,,,,New Bass 5A,54.00%,
Bass + Chords,16,Spicy Chops,87,3.48%,1,Background Color,,Neon Camo,Comp 20.mov,,,7,Clear Rainbow Cassette,Cassette,,,,New Bass 5B,29.00%,
Bass + Chords,17,Slip n Slide Solo,40,1.60%,1,Background Color,,Orange Spotlight,Comp 21.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 5 (Just Bass 2),20.00%,8.00%
Bass + Chords,17,Slip n Slide Fresh,80,3.20%,1,Background Color,,Orange Spotlight,Comp 21.mov,,,7,Clear Teal Cassette,Cassette,,,,New Bass 5C,40.00%,
Bass + Chords,17,Slip n Slide Chops,93,3.20%,1,Background Color,,Orange Spotlight,Comp 21.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 5D,40.00%,
Drums,1,Boom Bap,600,24%,19,Rings,9,Diamond Ring,RINGS-09.png,,,,,,,,,,,
Drums,2,Latin,125,5%,19,Rings,5,Flower Ring,RINGS-05.png,,,,,,,,,,,
Drums,3,80s,500,20%,19,Rings,2,Ruby Ring,RINGS-02.png,,,,,,,,,,,
Drums,4,Jerk Clap,300,12%,19,Rings,4,Pink Ring,RINGS-04.png,,,,,,,,,,,
Drums,5,Clap,250,10%,19,Rings,8,Flower Ring,RINGS-08.png,,,,,,,,,,,
Drums,6,Trap Snare,375,15%,19,Rings,3,Emerald Ring,RINGS-03.png,,,,,,,,,,,
Drums,7,Drum Hopping,100,4%,19,Rings,6,Clammed Ring,RINGS-06.png,,,,,,,,,,,
Drums,8,Upbeat,250,10%,19,Rings,7,Crowned Ring,RINGS-07.png,,,,,,,,,,,
Percussion,1,Steady,350,14%,15,Nails ,6,Blue Nails,NAILS_TOP_NORMAL-06.png,,,3,Under Nails Normal 6,Under Nails Normal,,NAILS TOP NORMAL number 7 is not used,,,,
Percussion,2,Morocco,150,6%,15,Nails,8,Striped Nails,NAILS_TOP_NORMAL-08.png,,,3,Under Nails Normal 8,Under Nails Normal,,BG color 10 & 16 not used,,,,
Percussion,3,Bottle Caps,50,2%,15,Nails ,7,Astrology Nails,NAILS_TOP-05.png,,,3,Under Nails 5,Under Nails,,Nails top 1-4 & 8 not used,,,,
Percussion,4,Trap,350,14%,15,Nails,9,Yellow Sharp Nails,NAILS_TOP_NORMAL-09.png,,,3,Under Nails Normal 9,Under Nails Normal,,Ring 1 & 10 not used,,,,
Percussion,5,Groove,50,2%,15,Nails ,10,Indigo Nails,NAILS_TOP_NORMAL-10.png,,,3,Under Nails Normal 10,Under Nails Normal,,,,,,
Percussion,6,Beam,350,14%,15,Nails,5,Yellow Wave Nails,NAILS_TOP_NORMAL-05.png,,,3,Under Nails Normal 5,Under Nails Normal,,,,,,
Percussion,7,Starlight,50,2%,15,Nails ,1,Pink Nails,NAILS_TOP_NORMAL-01.png,,,3,Under Nails Normal 10,Under Nails Normal,,,,,,
Percussion,8,Toms,25,1%,15,Nails,6,Butterfly Nails,NAILS_TOP-06.png,,,3,Under Nails 6,Under Nails,,,,,,
Percussion,9,Conga,50,2%,15,Nails ,2,Flames Nails,NAILS_TOP_NORMAL-02.png,,,3,Under Nails Normal 2,Under Nails Normal,,,,,,
Percussion,10,Alarm,350,14%,15,Nails,3,Blue French Tip,NAILS_TOP_NORMAL-03.png,,,3,Under Nails Normal 3,Under Nails Normal,,,,,,
Percussion,11,Shakers,150,6%,15,Nails ,10,Flower Nails,NAILS_TOP-10.png,,,3,Under Nails 10,Under Nails,,,,,,
Percussion,12,Jungle,200,8%,15,Nails,9,Beach Nails,NAILS_TOP-09.png,,,3,Under Nails 9,Under Nails,,,,,,
Percussion,13,Swoosh,350,14%,15,Nails ,4,Green Nails,NAILS_TOP_NORMAL-04.png,,,3,Under Nails Normal 4,Under Nails Normal,,,,,,
Percussion,14,80s Trap,25,1%,15,Nails,7,Rose Nails,NAILS_TOP-07.png,,,3,Under Nails 7,Under Nails,,,,,,
Vox,1,Just My Type,100,4.00%,10,Cassette Stickers,11,Retro Sticker,CASSETTE_STICKERS-11.png,,,,,,,,,,,
Vox,2,Distorted Type,50,2.00%,10,Cassette Stickers,12,Gradient Sticker,CASSETTE_STICKERS-12.png,,,,,,,,,,,
Vox,3,Low Pass,50,2.00%,10,Cassette Stickers,13,Old Skool Sticker,CASSETTE_STICKERS-13.png,,,,,,,,,,,
Vox,5,Robot,25,1.00%,10,Cassette Stickers,14,Striped Sticker,CASSETTE_STICKERS-14.png,,,12,Over Stickers 3,Over Stickers,,No Trait,,,,
Vox,6,Bubble,100,4.00%,10,Cassette Stickers,15,Orange Blue Sticker,CASSETTE_STICKERS-15.png,,,,,,,,,,,
Vox,7,Buckle Distort,50,2.00%,10,Cassette Stickers,16,Purple Sticker,CASSETTE_STICKERS-16.png,,,12,Over Stickers 1,Over Stickers,,,,,,
Vox,8,Buck Up Slow Down,25,1.00%,10,Cassette Stickers,3,Groovy Sticker,CASSETTE_STICKERS-03.png,,,,,,,,,,,
Vox,9,Call You Up,50,2.00%,10,Cassette Stickers,7,Checkered Sticker,CASSETTE_STICKERS-07.png,,,,,,,,,,,
Vox,10,Give It To Me,100,4.00%,10,Cassette Stickers,2,3D Sticker,CASSETTE_STICKERS-02.png,,,,,,,,,,,
Vox,11,Distort Love,50,2.00%,10,Cassette Stickers,10,Pink Sky Sticker,CASSETTE_STICKERS-10.png,,,,,,,,,,,
Vox,12,Anything You Want,50,2.00%,10,Cassette Stickers,6,Carpet Sticker,CASSETTE_STICKERS-06.png,,,12,Over Stickers 4,Over Stickers,,,,,,
Vox,13,Full Send,75,3.00%,10,Cassette Stickers,8,Flower Cloud Sticker,CASSETTE_STICKERS-08.png,,,12,Over Stickers 7,Over Stickers,,,,,,
Vox,14,Replay,100,4.00%,10,Cassette Stickers,5,Camo Sticker,CASSETTE_STICKERS-05.png,,,12,Over Stickers 6,Over Stickers,,,,,,
Vox,15,123Distort,50,2.00%,10,Cassette Stickers,9,Flowered Sticker,CASSETTE_STICKERS-09.png,,,12,Over Stickers 2,Over Stickers,,,,,,
Vox,16,Supersized,75,3.00%,10,Cassette Stickers,4,Drawn Sticker,CASSETTE_STICKERS-04.png,,,,,,,,,,,
Vox,17,Off Rip,100,4.00%,10,Cassette Stickers,1,Traditional Sticker,CASSETTE_STICKERS-01.png,,,12,Over Stickers 5,Over Stickers,,,,,,
Vox,18,Get Right,112,4.50%,,Cassette Stickers,,Columns,CASSETTE_STICKERS_NEW1-01.png,,,,,,,,,New Vox 1 A,,
Vox,19,Get Right Distorted,62,2.50%,,Cassette Stickers,,Drank,CASSETTE_STICKERS_NEW2-01.png,,,,,,,,,New Vox 1 B ,,
Vox,20,Get Right Shifted,25,1.00%,,Cassette Stickers,,Celesital Diamond,CASSETTE_STICKERS_NEW3-01.png,,,,,,,,,New Vox 1 C,,
Vox,21,Sweet Dream,125,5.00%,,Cassette Stickers,,Pink Palms,CASSETTE_STICKERS_NEW4-01.png,,,,,,,,,New Vox 2 A,,
Vox,22,Distorted Dream,75,3.00%,,Cassette Stickers,,T-Rex,CASSETTE_STICKERS_NEW5-01.png,,,,,,,,,New Vox 2 B,,
Vox,23,Like That,100,4.00%,,Cassette Stickers,,Vintage Gaming,CASSETTE_STICKERS_NEW6-01.png,,,,,,,,,New Vox 3 A,,
Vox,24,Like That Distorted,125,5.00%,,Cassette Stickers,,Bust,CASSETTE_STICKERS_NEW7-01.png,,,,,,,,,New Vox 3 B,,
Vox,25,Back It Up,100,4.00%,,Cassette Stickers,,Dolphin,CASSETTE_STICKERS_NEW8-01.png,,,,,,,,,New Vox 4 A,,
Vox,26,Back It Up Warp,50,2.00%,,Cassette Stickers,,OG Monitor,CASSETTE_STICKERS_NEW9-01.png,,,,,,,,,New Vox 4 B,,
Vox,27,Throw Sum Money,87,3.50%,,Cassette Stickers,,Pink Pineapple,CASSETTE_STICKERS_NEW10-01.png,,,,,,,,,New Vox 5 A,,
Vox,29,What It Is,50,2.00%,,Cassette Stickers,,Retro Palm,CASSETTE_STICKERS_NEW11-01.png,,,,,,,,,New Vox 6 A,,
Vox,30,Keep Tryin,125,5.00%,,Cassette Stickers,,Meme Candy,CASSETTE_STICKERS_NEW12-01.png,,,,,,,,,New Vox 7 A,,
Vox,31,Cool With It,112,4.50%,,Cassette Stickers,,Raise em up,CASSETTE_STICKERS_NEW13-01.png,,,,,,,,,New Vox 8 A,,
Vox,32,Want Some,75,3.00%,,Cassette Stickers,,Riot Fist,CASSETTE_STICKERS_NEW14-01.png,,,,,,,,,New Vox 9 A,,
Vox,33,Grip,112,4.50%,,Cassette Stickers,,Loveboro,CASSETTE_STICKERS_NEW15-01.png,,,,,,,,,New Vox 10 A,,
Vox,34,Sip of Something,75,3.00%,,Cassette Stickers,,Retro Yikes,CASSETTE_STICKERS_NEW16-01.png,,,,,,,,,New Vox 11 A,,
Vox,35,Calling Me,40,1.50%,,Cassette Stickers,,Retro Moon,CASSETTE_STICKERS_NEW17-01.png,,,,,,,,,New Vox 12 A,,
,,,125,5%,,Tattoos Small,1,Ribcage,TATTOOS_SMALL-01.png,,,,,,,These are randomized separately without,,,,
,,,375,15%,,Tattoos Small,2,Diamond,TATTOOS_SMALL-02.png,,,,,,,Audio randomization.,,,,
,,,75,3%,,Tattoos Small,3,Cat,TATTOOS_SMALL-03.png,,,,,,,"If Column A is empty, then randomize based on Column E",,,,
,,,425,17%,,Tattoos Small,4,Robbery,TATTOOS_SMALL-04.png,,,,,,,,,,,
,,,25,1%,,Tattoos Small,10,Future,TATTOOS_SMALL-10.png,,,,,,,,,,,
,,,475,19%,,Tattoos Small,5,Noire,TATTOOS_SMALL-05.png,,,,,,,,,,,
,,,150,6%,,Tattoos Small,9,Spider,TATTOOS_SMALL-09.png,,,,,,,,,,,
,,,350,14%,,Tattoos Small,8,Butterfly,TATTOOS_SMALL-08.png,,,,,,,,,,,
,,,175,7%,,Tattoos Small,6,Eye,TATTOOS_SMALL-06.png,,,,,,,,,,,
,,,325,13%,,Tattoos Small,7,Vampire,TATTOOS_SMALL-07.png,,,,,,,,,,,
,,,125,5%,,Tattoos Large,1,Snake,TATTOOS_LARGE-01.png,,,,,,,,,,,
,,,375,15%,,Tattoos Large,2,Coffin,TATTOOS_LARGE-02.png,,,,,,,,,,,
,,,75,3%,,Tattoos Large,3,Spider,TATTOOS_LARGE-03.png,,,,,,,,,,,
,,,425,17%,,Tattoos Large,4,Skull,TATTOOS_LARGE-04.png,,,,,,,,,,,
,,,25,1%,,Tattoos Large,10,Rose,TATTOOS_LARGE-10.png,,,,,,,,,,,
,,,475,19%,,Tattoos Large,5,Sun,TATTOOS_LARGE-05.png,,,,,,,,,,,
,,,150,6%,,Tattoos Large,9,Scorpion,TATTOOS_LARGE-09.png,,,,,,,,,,,
,,,350,14%,,Tattoos Large,8,Backstab,TATTOOS_LARGE-08.png,,,,,,,,,,,
,,,175,7%,,Tattoos Large,6,Potion,TATTOOS_LARGE-06.png,,,,,,,,,,,
,,,325,13%,,Tattoos Large,7,Third Eye,TATTOOS_LARGE-07.png,,,,,,,,,,,
,,,125,5%,,Stickers,1,Alien,STICKERS-01.png,,,,,,,,,,,
,,,375,15%,,Stickers,2,Pen Pal,STICKERS-02.png,,,,,,,,,,,
,,,75,3%,,Stickers,3,Cool!,STICKERS-03.png,,,,,,,,,,,
,,,425,17%,,Stickers,4,Damn,STICKERS-04.png,,,,,,,,,,,
,,,25,1%,,Stickers,10,90s,STICKERS-10.png,,,,,,,,,,,
,,,475,19%,,Stickers,5,Pizza,STICKERS-05.png,,,,,,,,,,,
,,,150,6%,,Stickers,9,Edgy,STICKERS-09.png,,,,,,,,,,,
, ,,350,14%,,Stickers,8,Ticket,STICKERS-08.png,,,,,,,,,,,
,,,175,7%,,Stickers,6,Sun,STICKERS-06.png,,,,,,,,,,,
,,,325,13%,,Stickers,7,Rainbow Child,STICKERS-07.png,,,,,,,,,,,
,,,500,20%,,Hands,1,Human 1,HAND_TOP-01.png,,,,Under Hands 1,Under Hands,,,,,,
,,,500,20%,,Hands,2,Human 2,HAND_TOP-02.png,,,,Under Hands 2,Under Hands,,,,,,
,,,500,20%,,Hands,3,Human 3,HAND_TOP-03.png,,,,Under Hands 3,Under Hands,,,,,,
,,,500,20%,,Hands,4,Human 4,HAND_TOP-04.png,,,,Under Hands 4,Under Hands,,,,,,
,,,500,20%,,Hands,5,Human 5,HAND_TOP-05.png,,,,Under Hands 5,Under Hands,,,,,,
,,,50,2%,,Alpha Animations,,Flame,FLAME.mov,,,,,,,,,,,
,,,50,2%,,Alpha Animations,,Goo,GOO.mov,,,,,,,,,,,
,,,50,2%,,Alpha Animations,,Ice,ICE.mov,,,,,,,,,,,
,,,50,2%,,Alpha Animations,,Lightning,LIGHTNING.mov,,,,,,,,,,,
,,,,,,,,None (N/A),,,,,,,,,,,,
,,,125,5%,6,Gears,,Purple Gear,Purple Gear.mov,,,,,,,,,,,
,,,375,15%,6,Gears,,Gold Gear,Gold Gear.mov,,,,,,,,,,,
,,,200,8%,6,Gears,,Red Gear,Red Gear.mov,,,,,,,,,,,
,,,425,17%,6,Gears,,Pink Gear,Pink Gear.mov,,,,,,,,,,,
,,,25,1%,6,Gears,,Orange Gear,Orange Gear.mov,,,,,,,,,,,
,,,475,19%,6,Gears,,Green Gear,Green Gear.mov,,,,,,,,,,,
,,,25,1%,6,Gears,,Rainbow Gear,Rainbow Gear.mov,,,,,,,,,,,
,,,350,14%,6,Gears,,Blue Gear,Blue Gear.mov,,,,,,,,,,,
,,,175,7%,6,Gears,,Yellow Gear,Yellow Gear.mov,,,,,,,,,,,
,,,325,13%,6,Gears,,Gray Gear,Gray Gear.mov,,,,,,,,,,,
,,,125,5%,2,Tape Colors,,Pink Tape Color,TAPE_COLORS-01.png,,,,,,,,,,,
,,,375,15%,2,Tape Colors,,Blue Tape Color,TAPE_COLORS-02.png,,,,,,,,,,,
,,,200,8%,2,Tape Colors,,Green Tape Color,TAPE_COLORS-03.png,,,,,,,,,,,
,,,425,17%,2,Tape Colors,,Yellow Tape Color,TAPE_COLORS-04.png,,,,,,,,,,,
,,,25,1%,2,Tape Colors,,Purple Tape Color,TAPE_COLORS-05.png,,,,,,,,,,,
,,,475,19%,2,Tape Colors,,Red Tape Color,TAPE_COLORS-06.png,,,,,,,,,,,
,,,25,1%,2,Tape Colors,,Gold Tape Color,TAPE_COLORS-07.png,,,,,,,,,,,
,,,350,14%,2,Tape Colors,,Platinum Tape Color,TAPE_COLORS-08.png,,,,,,,,,,,
,,,175,7%,2,Tape Colors,,Rainbow Tape Color,TAPE_COLORS-09.png,,,,,,,,,,,
,,,325,13%,2,Tape Colors,,Black Tape Color,TAPE_COLORS-10.png,,,,,,,,,,,
,,,2500,100%,,Windows,,Window Clear,,,,,,,8. Windows,,,,,
,,,2500,100%,,Details,,Details,,,,,,,9. Details,,,,,
